"rep","n","probs","quants","tail","model","uwd1","uwd2","width_mu","width_sigma","width_n","cover90_mu","cover90_sigma","cover90_n"
7,500,1,3,0,"ind",0.0338154215999803,0.00118833757291131,1.9845,3.422047,NA,1,1,NA
7,500,1,3,0,"kern",0.0243619628161736,0.000488044778287119,NA,NA,NA,NA,NA,NA
7,500,1,3,0,"spline",0.105027625356781,0.0113048923076288,NA,NA,NA,NA,NA,NA
7,500,2,9,0,"cltn",0.00533274964269099,2.81857527496171e-05,0.507079,0.4188365,NA,1,1,NA
7,500,2,9,0,"ordn",0.00533274964269099,2.81857527496171e-05,0.532998,0.434358,NA,1,1,NA
7,500,2,9,0,"clt",0.0150689659472367,0.000213875503124577,0.4983405,0.411366,1097.67305,1,1,1
7,500,2,9,0,"ord",0.020671843232712,0.000443840076627831,0.495032,0.4202885,1022.47415,1,1,1
7,500,2,9,0,"ind",0.0100476295915375,9.7899087411241e-05,0.209524,0.269854,NA,1,1,NA
7,500,2,9,0,"kern",0.0238018460385708,0.000621150067927214,NA,NA,NA,NA,NA,NA
7,500,2,9,0,"spline",0.0250358825539477,0.000530852367428907,NA,NA,NA,NA,NA,NA
7,1000,1,3,0,"cltn",0.0118243058784641,0.000121494768071313,0.385246,0.417639,NA,1,1,NA
7,1000,1,3,0,"ordn",0.0118243058784641,0.000121494768071313,0.3940875,0.411858,NA,1,1,NA
7,1000,1,3,0,"clt",0.0129611952825008,0.000151762010404103,0.443224,0.431767,3803.47215,1,1,1
7,1000,1,3,0,"ord",0.00585220011043524,3.47684974934916e-05,0.4126115,0.4476585,3753.8489,1,1,1
7,1000,1,3,0,"ind",0.0374716887684714,0.00138823373655334,1.908685,3.136339,NA,1,1,NA
7,1000,1,3,0,"kern",0.0100486750386084,0.000101697898575333,NA,NA,NA,NA,NA,NA
7,1000,1,3,0,"spline",0.108645343649642,0.011779557724986,NA,NA,NA,NA,NA,NA
7,1000,2,9,0,"cltn",0.0194646644237212,0.000361816797147568,0.3601845,0.3005285,NA,1,1,NA
7,1000,2,9,0,"ordn",0.0194646644237212,0.000361816797147568,0.3652915,0.2981645,NA,1,1,NA
7,1000,2,9,0,"clt",0.00830662636632765,8.28646563832929e-05,0.3875735,0.3050695,1892.6338,1,1,1
7,1000,2,9,0,"ord",0.00952251342540688,9.64890292363015e-05,0.3578235,0.2874925,1902.64525,1,1,1
7,1000,2,9,0,"ind",0.0107156374612273,0.00011443305185123,0.111334,0.153568,NA,1,1,NA
7,1000,2,9,0,"kern",0.0108179865109891,0.000113980696284965,NA,NA,NA,NA,NA,NA
7,1000,2,9,0,"spline",0.0168731228989262,0.000350460891440599,NA,NA,NA,NA,NA,NA
8,50,1,3,0,"cltn",0.0464502510200489,0.00237551722381489,1.589819,1.650334,NA,1,1,NA
8,50,1,3,0,"ordn",0.0464502510200489,0.00237551722381489,1.532447,1.739364,NA,1,1,NA
8,50,1,3,0,"clt",0.0375985262663208,0.00150507890009628,0.367937,0.3883275,3573.85525,1,0,0
8,50,1,3,0,"ord",0.0463201394381683,0.00208728825553446,0.3829395,0.42166,3621.36585,0,0,0
